place_name;category;rating;latitude;longitude;source;main_category
قهوة احمد رشا;cafe;5;24.6510694;46.6698991;cafes;cafe
ذا سوريج لاونج;cafe;4.6;24.8649311;46.8058175;cafes;cafe
Jaam Coffee;cafe;3.9;24.6894205;46.6341249;cafes;cafe
Dunkin’ Donuts;cafe;3.5;24.7279149;46.6343373;cafes;cafe
قهوه شعبيه;cafe;3;24.6037245;46.7305409;cafes;cafe
Damascu cafe;cafe;4.6;24.7067429;46.6877522;cafes;cafe
مقهى بارنز;cafe;3.3;24.7103401;46.8319283;cafes;cafe
Cafe Tale;cafe;4.3;24.7822237;46.7062983;cafes;cafe
Caribou Coffee KFR -كاريبو كوفي;cafe;4.4;24.7378998;46.6584273;cafes;cafe
Arabica Coffee;cafe;3.9;24.6844977;46.6522549;cafes;cafe
A12 cafe | اي تويلف;cafe;4.4;24.7338466;46.6485965;cafes;cafe
Parole Cafe;cafe;4.1;24.8319355;46.7670226;cafes;cafe
سي يو كافيه - CU Specialty coffee;cafe;4.1;24.5913163;46.6229969;cafes;cafe
افري داي كافي;cafe;3.3;24.5850044;46.6636115;cafes;cafe
نافذة القهوة;cafe;4.4;24.8214294;46.6856544;cafes;cafe
88 shots cafe;cafe;4.5;24.7275625;46.6881875;cafes;cafe
COBEE Cafe;cafe;4.2;24.7027431;46.7785507;cafes;cafe
65 sixty five degrees;cafe;3.9;24.7592884;46.7162517;cafes;cafe
Seventies Cafe;cafe;4.3;24.7416456;46.6453732;cafes;cafe
SHOTS;cafe;3.8;24.725686;46.6446749;cafes;cafe
صلح شاي الربوة;cafe;4.6;24.701488;46.7457965;cafes;cafe
McCafé;cafe;1.5;24.8172889;46.73238;cafes;cafe
ديبلو كافيه;cafe;4.3;24.6827305;46.8151005;cafes;cafe
Java Cafe جافا كافيه;cafe;3.9;24.6874716;46.7029034;cafes;cafe
12 Cups;cafe;3.9;24.7606233;46.6397385;cafes;cafe
سعد الدين جرير اكسبريس Saadeddin Cafe;cafe;4.3;24.7582484;46.8307793;cafes;cafe
Kaldi Coffee;cafe;3.9;24.7257298;46.6428427;cafes;cafe
جلسة صفوة الشاي;cafe;4.6;24.6911075;46.7847928;cafes;cafe
لايقر كافيه;cafe;3.7;24.6047707;46.6557099;cafes;cafe
مقهي و ديوانية إبريق الشاي;cafe;4.2;24.7064103;46.8291798;cafes;cafe
وايت تربل WHITE TRIPLE كوفي;cafe;5;24.8735368;46.8057939;cafes;cafe
..;cafe;3.3;Null;Null;cafes;cafe
TRIESTE KAFD;cafe;4.1;24.7605625;46.6389375;cafes;cafe
مقهى الحواته للتقديم المشروبات;cafe;4.4;24.6202112;46.7336752;cafes;cafe
لام كافيه;cafe;4.5;24.8538322;46.7736926;cafes;cafe
مقهى ومحمصة حصيد;cafe;4.9;24.7855793;46.8062885;cafes;cafe
المذاق المغربي;cafe;3.7;24.7666941;46.8081056;cafes;cafe
ديلان كافية;cafe;5;24.8613071;46.7870238;cafes;cafe
your cup;cafe;5;24.8341856;46.6316872;cafes;cafe
استراحة الشماتين;cafe;3;24.8527085;46.8091195;cafes;cafe
شاي بخار ديوانية هلا;cafe;4.2;24.8241553;46.788038;cafes;cafe
